,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
182,Judgment at Nuremberg,"Drama, War","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,judgment nuremberg drama war 1948 american court occupied germany tries four nazis judged war crimes stanley kramer spencer tracy burt lancaster richard widmark marlene dietrich
183,Some Like It Hot,"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,like hot comedy music romance two male musicians witness mob hit flee state female band disguised women complications set billy wilder marilyn monroe tony curtis jack lemmon george raft
184,Smultronstället,"Drama, Romance","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,smultronst llet drama romance living life marked coldness aging professor forced confront emptiness existence ingmar bergman victor sj str bibi andersson ingrid thulin gunnar bj rnstrand
185,Det sjunde inseglet,"Drama, Fantasy, History","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,det sjunde inseglet drama fantasy history man seeks answers life death existence god plays chess grim reaper black plague ingmar bergman max von sydow gunnar bj rnstrand bengt ekerot nils poppe
186,Du rififi chez les hommes,"Crime, Drama, Thriller","Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,du rififi chez les hommes crime drama thriller four men plan technically perfect crime human element intervenes jules dassin jean servais carl hner robert manuel janine darcey
187,Dial M for Murder,"Crime, Thriller",A former tennis player tries to arrange his wife's murder after learning of her affair.,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,dial murder crime thriller former tennis player tries arrange wife murder learning affair alfred hitchcock ray milland grace kelly robert cummings john williams
188,Tôkyô monogatari,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,ky monogatari drama old couple visit children grandchildren city receive little attention yasujir ozu chish ry chieko higashiyama yamamura setsuko hara
189,Rashômon,"Crime, Drama, Mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,rash mon crime drama mystery rape bride murder samurai husband recalled perspectives bandit bride samurai ghost woodcutter akira kurosawa toshir mifune machiko ky masayuki mori takashi shimura
190,All About Eve,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,eve drama seemingly timid secretly ruthless ing nue insinuates lives aging broadway star circle theater friends joseph l mankiewicz bette davis anne baxter george sanders celeste holm
191,The Treasure of the Sierra Madre,"Adventure, Drama, Western",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,treasure sierra madre adventure drama western two americans searching work mexico convince old prospector help mine gold sierra madre mountains john huston humphrey bogart walter huston tim holt bruce bennett
192,To Be or Not to Be,"Comedy, War","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,comedy war nazi occupation poland acting troupe becomes embroiled polish soldier efforts track german spy ernst lubitsch carole lombard jack benny robert stack felix bressart
193,The Gold Rush,"Adventure, Comedy, Drama",A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,gold rush adventure comedy drama prospector goes klondike search gold finds charles chaplin charles chaplin mack swain tom murray henry bergman
194,Sherlock Jr.,"Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,sherlock jr action comedy romance film projectionist longs detective puts meagre skills work framed rival stealing girlfriend father pocketwatch buster keaton buster keaton kathryn mcguire joe keaton erwin connelly
195,Portrait de la jeune fille en feu,"Drama, Romance","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,portrait de la jeune fille en feu drama romance isolated island brittany end eighteenth century female painter obliged paint wedding portrait young woman c line sciamma mie merlant ad le haenel lu na bajrami valeria golino
196,Pink,"Drama, Thriller","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,pink drama thriller three young women implicated crime retired lawyer steps forward help clear names aniruddha roy chowdhury taapsee pannu amitabh bachchan kirti kulhari andrea tariang
197,Koe no katachi,"Animation, Drama, Family","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,koe katachi animation drama family young man ostracized classmates bullies deaf girl point moves away years later sets path redemption naoko yamada miyu irino saori hayami aoi ki kensh ono
198,Contratiempo,"Crime, Drama, Mystery",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,contratiempo crime drama mystery successful entrepreneur accused murder witness preparation expert less three hours come impregnable defense oriol paulo mario casas ana wagener jose coronado b rbara lennie
199,Ah-ga-ssi,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,ah ga ssi drama romance thriller woman hired handmaiden japanese heiress secretly involved plot defraud chan wook park kim min hee jung woo ha cho jin woong moon ri
200,Mommy,Drama,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,mommy drama widowed single mother raising violent son alone finds new hope mysterious neighbor inserts household xavier dolan anne dorval antoine olivier pilon suzanne cl ment patrick huard
201,Haider,"Action, Crime, Drama","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,haider action crime drama young man returns kashmir father disappearance confront uncle suspects playing role father fate vishal bhardwaj shahid kapoor tabu shraddha kapoor kay kay menon
202,Logan,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,logan action drama sci fi future mutants nearly extinct elderly weary logan leads quiet life laura mutant child pursued scientists comes help must get safety james mangold hugh jackman patrick stewart dafne keen boyd holbrook
203,Room,"Drama, Thriller","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,room drama thriller held captive 7 years enclosed space woman young son finally gain freedom allowing boy experience outside world first time lenny abrahamson brie larson jacob tremblay sean bridgers wendy crewson
204,Relatos salvajes,"Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,relatos salvajes comedy drama thriller six short stories explore extremities human behavior involving people distress dami n szifron dar grandinetti mar marull nica villa diego starosta
205,Soul,"Animation, Adventure, Comedy","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,soul animation adventure comedy landing gig lifetime new york jazz pianist suddenly finds trapped strange land earth afterlife pete docter kemp powers jamie foxx tina fey graham norton
206,Kis Uykusu,Drama,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,kis uykusu drama hotel owner landlord remote turkish village deals conflicts within family tenant behind rent nuri bilge ceylan haluk bilginer melisa zen demet akbag ayberk pekcan
207,PK,"Comedy, Drama, Musical",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,pk comedy drama musical alien earth loses device use communicate spaceship innocent nature child like questions force country evaluate impact religion people rajkumar hirani aamir khan anushka sharma sanjay dutt boman irani
